campaign_name,canonical_key,tier,geography,start_date,end_date,duration_days,promos_coupons,category_focus,onsite_deliverables,wireframes,event_type,source,needs_review,raw_notes,sheet_name,table_type
"Feed  Module Refresh (m/w/k/b)
Sans Trends",feed_refresh,-,KSA + UAE,2026-06-05,2026-06-30,26.0,NA,,Fashion Feed,June Onsite Wireframes'26,monthly_anchor,history,False,,june2026,primary
Summer Rerun,summer_store,Tier 2,KSA + UAE,2026-06-05,2026-06-30,26.0,NA,"Summer-relevant categories (dresses, sets, swimwear & beachwear, tops & tees, sun care & hydration essentials, etc.)","Feed module + landing page
Fashion Feed",June Onsite Wireframes'26,seasonal,history,True,"tier_raw: Tier1
Tier 2 - Post Eoss",june2026,primary
EOSS,eoss,Tier 1,KSA + UAE,2026-06-26,2026-07-06,11.0,TBD,Platform-wide (deal code based),"Hero Module + Landing Page
Fashion Feed + Sports Feed + Outlet Feed + Premium Feed",TBD,sale,history,False,,june2026,primary
Father's Day,fathers_day,Tier 2,KSA + UAE,2026-06-12,2026-06-21,10.0,NA,Gifting Relevant Categories,"Feed Module + Landing Page
Men's Fashion Feed",June Onsite Wireframes'26,cultural,history,False,,june2026,primary
Wellness Edit (Int. Yoga Day),yoga_day,Tier 2,KSA + UAE,2026-06-12,2026-06-21,10.0,NA,Athleisure and Yoga specific Categories,"TBD
Fashion Feed + Sports Feed",TBD,cultural,history,False,,june2026,primary
World Cup,world_cup,Tier 1,KSA + UAE,2026-06-05,2026-06-30,26.0,NA,World Cup specific Catgeories,"Sports Feed
Fashion feed Entry Points",To be shared separately,sports,history,True,tier_raw: Tier 1 (sports feed),june2026,primary
F1,f1,Tier 2,KSA + UAE,2026-04-24,2026-05-03,10.0,NA,F1 Assortment,"Module/Carousel
Sports + Fashion Feed",May 26 Onsite WFs,sports,history,True,"tier_raw: Tier 2 on Men
Tier 3 Women & Kids",may 2026,primary
Feed  Module Refresh (m/w/k/b),feed_refresh,-,KSA + UAE,2026-05-04,2026-05-31,28.0,NA,,Fashion Feed,May 26 Onsite WFs,monthly_anchor,history,False,,may 2026,primary
Spring Summer Refresh,spring_summer,Tier 1,KSA + UAE,2026-05-04,2026-05-31,28.0,NA,"Summer-relevant categories (dresses, sets, swimwear & beachwear, tops & tees, sun care & hydration essentials, etc.)","Feed module + landing page
Fashion Feed",May 26 Onsite WFs,seasonal,history,True,"tier_raw: Tier 2 on Women & Kids
Tier 1 Men",may 2026,primary
Get Ready for Eid (Adha),eid_adha,Tier 1,KSA + UAE,2026-05-04,2026-05-18,15.0,NA,"Fashion (arabian wear, dresses,etc) beauty & grooming, Sports","Hero Module + Landing Page
Fashion Feed + Beauty Feed + Sports Feed",May 26 Onsite WFs,sale,history,True,"tier_raw: Tier 1 on Women & Kids
Tier 2 - Men",may 2026,primary
Travel,travel_edit,Tier 2,KSA + UAE,2026-05-14,2026-05-21,8.0,NA,Travel summer + winter categories for travel,"Feed Module + Landing Page
Fashion Feed",TBD,seasonal,history,False,,may 2026,primary
Eid Sale,eid_fitr,Tier 1,KSA + UAE,2026-05-18,2026-05-26,9.0,TBD,Platform-wide (deal code based),"Hero banner + feed module
Fashion Feed + Beauty Feed + Sports Feed",TBD,sale,history,False,,may 2026,primary
Beauty Week,beauty_week,Tier 1,KSA + UAE,2026-05-20,2026-05-26,7.0,,Beauty,Beauty Feed + EP on diff feeds,NA,beauty,history,False,,may 2026,primary
Saudi Vision 2030 - 10th Anniversary (PIF commitment),vision_2030,Tier 2,KSA,TBD,TBD,,,"Local brands, arabian wear, streetwear, beauty","Feed module + landing page
Fashion Feed",,national,history,False,start_raw: TBD | end_raw: TBD,may 2026,primary
BTS Soft Push (kids),bts,Tier 2,KSA,2026-03-26,2026-04-06,12.0,NA,"BTS-relevant categories (kidswear, stationery, backpacks, etc.)",Feed module + landing page,April Onsite WF'26,seasonal,history,False,,april 2026,primary
Feed Refresh (m/w/k/b),feed_refresh,-,KSA + UAE,2026-04-06,TBD,,NA,,,April Onsite WF'26,monthly_anchor,history,False,,april 2026,primary
Spring/ Summer Trends,spring_summer,Tier 1,KSA + UAE,2026-04-06,2026-05-04,29.0,NA,"Summer-relevant categories (dresses, sets, swimwear & beachwear, tops & tees, sun care & hydration essentials, etc.)",Hero module + feed module showcasing trends,Spring Summer 2026 | M/W/K,seasonal,history,False,,april 2026,primary
Saudi Vision 2030 - 10th Anniversary (PIF commitment),vision_2030,Tier 2,KSA,2026-04-06,2026-04-25,20.0,Coupon to run from 16th to 25th - details TBD,"Local brands, arabian wear, streetwear, beauty",Feed module + landing page,April Onsite WF'26,national,history,False,,april 2026,primary
World Cup Soft Launch,world_cup,Tier 2,KSA + UAE,2026-04-06,2026-04-30,25.0,NA,"World cup jerseys & related apparel, footwear, accessories",Banner on sports feed/ module,TBD,sports,history,False,,april 2026,primary
Payday,payday,Tier 1,KSA + UAE,2026-04-24,2026-05-01,8.0,TBD,Platform-wide (deal code based),Hero banner + feed module,TBD,monthly_anchor,history,False,,april 2026,primary
International Women's Day,iwd,Tier 2,KSA + UAE,2026-03-02,2026-03-08,7.0,NA,"Fashion, sports, beauty",Feed module + landing page,,cultural,history,False,,march 2026,primary
Mother's Day (Gifting),mothers_day,Tier 2,KSA + UAE,2026-03-06,2026-03-21,16.0,NA,Gifting-relevant categories + USPs,"Feed module + landing page
Carousel on 90min page
VPLPs on EJW pages",,cultural,history,False,,march 2026,primary
World Cup (TBC),world_cup,Tier 2,KSA + UAE,2026-03-20,2026-03-27,8.0,NA,"adidas away kits launch (Mar 20)
Finalissima: Argentina v. Spain (Mar 27)",TBD,,sports,history,False,,march 2026,primary
Spring Summer Rerun,summer_store,Tier 2,KSA + UAE,2026-03-23,2026-04-06,15.0,NA,Spring summer relevant categories + trends,Feed module,,seasonal,history,False,,march 2026,primary
F1 Fan Merch Store,f1,Tier 3,KSA + UAE,2026-03-23,2026-04-20,29.0,NA,F1 merch (fashion + sports),Feed module,,sports,history,False,,march 2026,primary
Payday,payday,Tier 1,KSA + UAE,2026-03-25,2026-04-02,9.0,TBD,Platform-wide (deal code based),Hero banner + feed module,,monthly_anchor,history,False,,march 2026,primary
Get Ready for Ramadan,ramadan,Tier 1,KSA + UAE,2026-01-19,2026-02-19,32.0,NA,"Fashion (arabian/ modest wear)
Sports (modest/ low-impact activewear)
Beauty (skincare/ hair care)",Hero banner module + landing page (across feeds),Ramadan'2026 Onsite WFs,cultural,history,False,,feb 2026,primary
The Love Edit (Valentine's Day),valentines,Tier 2,UAE,2026-02-02,2026-02-14,13.0,NA,"Fashion, beauty, gifting (EJW focus)",Feed banner + landing pages (women/ men),Spring Summer 2026 | M/W/K,cultural,history,False,,feb 2026,primary
Ramadan (incl. Ramadan Sale),ramadan,Tier 1,KSA + UAE,2026-02-19,2026-03-19,29.0,"Cashback coupon in line with payday (Feb 26 - Mar 12)
TBC","Fashion (arabian/ modest wear)
Sports (modest/ low-impact activewear)
Beauty",Feed takeover,Ramadan'2026 Onsite WFs,cultural,history,False,,feb 2026,primary
Holi (targeted to Indian nationals),holi,Tier 2,UAE,2026-02-23,2026-03-04,10.0,NA,"Fashion & sports (focus on white & indian clothing categories), beauty",Roundel,,cultural,history,False,,feb 2026,primary
EOSS,eoss,Tier 1,KSA + UAE,2025-12-26,2026-01-05,11.0,"Up to 80% off +
5% cashback at min value 400
15% cashback at min value 700
Max cashback of 150",Platform-wide,Hero banner + feed module,EOSS  SALE MAIN PROMO | Up to 80% off + Up to 15% Cashback | 26TH DEC'25,sale,history,False,,jan 2026,primary
Back to School (kids),bts,Tier 2,KSA + UAE,2025-12-26,2026-01-05,11.0,NA,"Kids school essentials (shoes, bags, clothing essentials, stationery, water bottles/ lunch bags)",Feed module + landing page,JanOnsiteWFs'26,seasonal,history,False,,jan 2026,primary
Shopping Festival (in line with Dubai Shopping Festival),dsf,Tier 2,UAE,2026-01-05,2026-01-11,7.0,NA,Platform-wide,Roundel + landing page,JanOnsiteWFs'26,seasonal,history,False,,jan 2026,primary
Feed Monthly Refresh,feed_refresh,-,KSA + UAE,2026-01-05,2026-01-05,1.0,,,,JanOnsiteWFs'26,monthly_anchor,history,False,,jan 2026,primary
Wardrobe Refresh,wardrobe_refresh,Tier 1,KSA + UAE,2026-01-05,2026-01-12,8.0,NA,New arrivals across categories,Hero banner + landing page,JanOnsiteWFs'26,,history,False,,jan 2026,primary
Fitness Edit,fitness_edit,Tier 2,KSA + UAE,2026-01-05,2026-01-19,15.0,NA,Sports performance,Feed module + inclusion in wardrobre refresh landing page,JanOnsiteWFs'26,,history,False,,jan 2026,primary
Pantone Color of the Year,pantone_coty,Tier 1,KSA + UAE,2026-01-12,2026-01-19,8.0,NA,"Platform-wide, focus on shades of white in cline with Pantone shade 2026 (cloud dancer)",Hero banner + landing page,JanOnsiteWFs'26,cultural,history,False,,jan 2026,primary
Pre-Ramadan,ramadan,Tier 1,KSA + UAE,2026-01-19,2026-02-16,29.0,NA,"Platform-wide, with focus on arabian/ modest clothing (new arrivals), activewear, beauty",Hero banner + landing page,,cultural,history,False,,jan 2026,primary
Running/ Marathon Edit,marathon,Tier 3,KSA + UAE,2026-01-19,TBD,,NA,"Running apparel, shoes and accessories in line with Dubai/ Riyadh marathons",Feed module,,sports,history,True,"end_raw: Sunday, February 1, 2026 (UAE)
Sunday, February 8, 2026 (KSA)",jan 2026,primary
Payday Sale,payday,Tier 1,KSA + UAE,2026-01-23,2026-02-02,11.0,TBD,Platform-wide,Hero banner + feed module,RAMADAN READY MAIN PROMO | Up to 15% Cashback | 23rd JAN'26,monthly_anchor,history,False,,jan 2026,primary
Winter Sale,eoss,-,,TBD,TBD,,,,,,sale,history,False,,jan 2026,primary
UAE National Day,uae_national_day,Tier 1,UAE,2025-11-25,2025-12-02,8.0,NA,"Women, men, kids
Fashion (flag colors, modestwear, streetwear/ casual)",Hero banner + landing page,NovemberOnsiteWFs'25,national,history,False,,december 2025,primary
Clearance Sale,eoss,Tier 1,KSA + UAE,2025-12-01,2025-12-03,3.0,Up to 90% Off,"All feeds
Platform-wide",Hero banner + feed module,NovemberOnsiteWFs'25,sale,history,False,,december 2025,primary
Feed Monthly Refresh,feed_refresh,-,KSA + UAE,2025-12-03,2025-12-03,1.0,NA,Platform-wide,Feed refresh,DecemberOnsiteWfs,monthly_anchor,history,False,,december 2025,primary
Holiday Season/ Gifting,holi,Tier 1,KSA + UAE,2025-12-03,2026-12-26,389.0,NA,"FAB, beauty (giftsets), sports, kids (fashion, toys, character merch), home (hosting essentials, decor)","Hero banner + landing page
Feed module (post-15th)",DecemberOnsiteWfs,cultural,history,False,,december 2025,primary
Party Edit,party_edit,Tier 2,KSA + UAE,2025-12-15,2026-01-01,18.0,NA,"Fashion (party dresses, heels & occasion footwear, smart shirts & blazers, statement bags & jewelry), beauty","Hero banner + landing page
Trend banner (post-27th)",DecemberOnsiteWfs,seasonal,history,False,,december 2025,primary
Travel Edit,travel_edit,Tier 2,KSA + UAE,2025-12-03,2026-01-05,34.0,NA,"Comfort wear, winter/ summer wear, travel essentials, beauty minis",Feed module,DecemberOnsiteWfs,seasonal,history,False,,december 2025,primary
End of Season Sale (EOSS),eoss,Tier 1,KSA + UAE,2025-12-26,2026-01-05,11.0,TBD,Platform-wide,Hero banner + feed module,EOSS  SALE MAIN PROMO | 30-80% off + Up to 15% Cashback | 26TH DEC'25,sale,history,False,,december 2025,primary
Payday Sale,payday,-,All,2025-10-26,2025-11-03,9.0,"30-70% Off | beauty_callout: Up to 50% Off | cashback_coupons: 5% cashback at min. 400 spend
15% cashback at min. 700 spend
Up to 150 aed/ sar
Code: Payday | deal_codes: TBD",,"- App logo (Namshi x BN)
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner / feed
- Offers module",,monthly_anchor,history,False,,november 2025,primary
Black November,black_november,-,All,2025-11-03,2025-11-07,5.0,Up to 70% Off | beauty_callout: up to 30 | deal_codes: TBD,,"- Logo unit
- Splashscreen
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner / feed
- Offers module",,,history,False,,november 2025,primary
"Black November
11.11 Sale",black_november,-,All,2025-11-07,2025-11-13,7.0,"40-80% Off | beauty_callout: up to 70 | cashback_coupons: 11% cashback at min. 400 spend
Up to 111
Code: 11sale | coupon_change: 11% cashback on spends above 400 aed 
22% cashback on spends above 1000 aed
Max cap 300 | deal_codes: TBD",,"- Splashscreen
- Logo unit
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner/ feed
- Feed takeover / feed",,,history,False,,november 2025,primary
Black November,black_november,-,All,2025-11-13,2025-11-20,8.0,Up to 80% Off | beauty_callout: up to 30 | deal_codes: TBD,,"- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner / feed
- Offers module",,,history,False,,november 2025,primary
Black November,black_november,-,All,2025-11-20,2025-11-27,8.0,"40-90% Off | beauty_callout: up to 70 | cashback_coupons: 40 aed/ sar cashback at min. 400 spend
100 aed/ sar cashback at min. 700 spend
200 aed/ sar cashback at min. 1000 spend
Code: bn200 | deal_codes: TBD",,"- Splashscreen
- Logo unit
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner/ feed
- Feed takeover / feed",,,history,False,,november 2025,primary
"Black November
Namshi Friday",black_november,-,All,2025-11-27,2025-12-01,5.0,"40-90% Off | cashback_coupons: 40aed/ sar cashback at min. 400 spend
100 aed/ sar cashback at min. 700 spend
250 aed/ sar cashback at min. 1000 spend
Code: friday | deal_codes: TBD",,"- Splashscreen
- Logo unit
- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner/ feed
- Feed takeover / feed",,,history,False,,november 2025,primary
Clearance Sale,eoss,-,All,2025-12-01,2025-12-03,3.0,Up to 90% Off | cashback_coupons: TBD reactively based on performance | deal_codes: TBD,,"- PDP/ cart banners
- Category page entrypoint
- Tier 1 banner / feed
- Offers module",,sale,history,False,,november 2025,primary
UAE National Day,uae_national_day,-,UAE,2025-11-25,2025-12-02,8.0,,,,,national,history,False,,november 2025,primary
Payday (September),payday,Tier 1,KSA + UAE,2025-09-25,2025-10-05,11.0,30-80% Off + Up to 15% Cashback,Platform-wide,Hero banner + offers module,,monthly_anchor,history,False,,October 2025,primary
International Coffee Day,coffee_day,Tier 2,KSA + UAE,2025-09-25,2025-10-01,7.0,,"Fashion + Beauty + Sports (shades of brown)
Home",Hero Banner,OctoberOnsiteWFs,cultural,history,False,,October 2025,primary
Diwali (incl. gifting),diwali,Tier 1,UAE,2025-10-09,2025-10-20,12.0,,Fashion + Beauty + Home + Sports,"Hero Banner (indian nationals) + Gifting roundel (all)
OR Feed module",OctoberOnsiteWFs,cultural,history,True,tier_raw: Tier 1 (Indian Nationals),October 2025,primary
Halloween,halloween,Tier 2,UAE,2025-10-20,2025-10-31,12.0,,Beauty + Kids,Module on feed + hero banner and elevated plp + halloween essentials + 90 mins carousel last 2 days,OctoberOnsiteWFs,cultural,history,False,,October 2025,primary
Performance Edit (Dubai Active/ Dubai Fitness),dubai_fitness,Tier 1,UAE,2025-10-20,2025-11-30,42.0,,Sports + Fashion (athleisure),,OctoberOnsiteWFs,sports,history,True,"tier_raw: Tier 1 at launch
Tier 2 starting payday",October 2025,primary
Payday Sale,payday,Tier 1,KSA + UAE,2025-10-26,2025-11-03,9.0,"30-80% off + up to 20% cashback as follows:
10% for 300-500 spend
20% for 500+ spend
Max cap 150",Platform-wide,,OctoberOnsiteWFs,monthly_anchor,history,False,,October 2025,primary
Trends/ Edits,trend_edit_aw,-,,TBD,TBD,,,,,,,history,False,,October 2025,primary
Riyadh Fashion Week (TBC),fashion_week,-,KSA,2017-10-21,TBD,,,Fashion + Sports,Trend banner,,,history,True,start_raw: 17th - 21st October,October 2025,primary
